date,sp500_ret
2012-09-06,0.02038
2012-09-07,0.00401
2012-09-10,-0.006136
2012-09-11,0.003175
2012-09-12,0.002338
2012-09-13,0.016295
2012-09-14,0.004019
2012-09-17,-0.003166
2012-09-18,-0.001285
2012-09-19,0.00121
2012-09-20,-0.00045
2012-09-21,-0.000178
2012-09-24,-0.002032
2012-09-25,-0.010525
2012-09-26,-0.005537
2012-09-27,0.009581
2012-09-28,-0.004484
2012-10-01,0.002764
2012-10-02,0.000982
2012-10-03,0.003885
2012-10-04,0.00725
2012-10-05,-7e-06
2012-10-08,-0.003299
2012-10-09,-0.009926
2012-10-10,-0.005926
2012-10-11,0.000422
2012-10-12,-0.002788
2012-10-15,0.008098
2012-10-16,0.010142
2012-10-17,0.004166
2012-10-18,-0.00245
2012-10-19,-0.016521
2012-10-22,0.000409
2012-10-23,-0.01431
2012-10-24,-0.003034
2012-10-25,0.002776
2012-10-26,-0.000458
2012-10-31,0.000391
2012-11-01,0.010576
2012-11-02,-0.009219
2012-11-05,0.002231
2012-11-06,0.008003
2012-11-07,-0.022644
2012-11-08,-0.012236
2012-11-09,0.001589
2012-11-12,9.9e-05
2012-11-13,-0.003716
2012-11-14,-0.013501
2012-11-15,-0.001847
2012-11-16,0.004933
2012-11-19,0.019683
2012-11-20,0.000789
2012-11-21,0.002384
2012-11-23,0.013213
2012-11-26,-0.002008
2012-11-27,-0.005096
2012-11-28,0.008316
2012-11-29,0.004408
2012-11-30,0.000344
2012-12-03,-0.004831
2012-12-04,-0.00152
2012-12-05,0.001923
2012-12-06,0.003442
2012-12-07,0.003084
2012-12-10,0.00038
2012-12-11,0.006462
2012-12-12,0.000242
2012-12-13,-0.005975
2012-12-14,-0.003964
2012-12-17,0.011723
2012-12-18,0.011497
2012-12-19,-0.007328
2012-12-20,0.005499
2012-12-21,-0.009196
2012-12-24,-0.002297
2012-12-26,-0.004901
2012-12-27,-0.001007
2012-12-28,-0.010918
2012-12-31,0.016572
2013-01-02,0.025611
2013-01-03,-0.002199
2013-01-04,0.004998
2013-01-07,-0.003084
2013-01-08,-0.002897
2013-01-09,0.002726
2013-01-10,0.007413
2013-01-11,0.000174
2013-01-14,-0.000932
2013-01-15,0.001299
2013-01-16,0.000271
2013-01-17,0.005619
2013-01-18,0.00351
2013-01-22,0.004398
2013-01-23,0.001432
2013-01-24,0.000273
2013-01-25,0.005407
2013-01-28,-0.001824
2013-01-29,0.004958
2013-01-30,-0.003316
2013-01-31,-0.002475
2013-02-01,0.010003
2013-02-04,-0.011541
2013-02-05,0.010499
2013-02-06,0.000737
2013-02-07,-0.001367
2013-02-08,0.005602
2013-02-11,-0.00057
2013-02-12,0.001607
2013-02-13,0.001055
2013-02-14,0.00065
2013-02-15,-0.00119
2013-02-19,0.007348
2013-02-20,-0.012237
2013-02-21,-0.005934
2013-02-22,0.008918
2013-02-25,-0.018226
2013-02-26,0.00626
2013-02-27,0.012895
2013-02-28,-0.000953
2013-03-01,0.002466
2013-03-04,0.004884
2013-03-05,0.009513
2013-03-06,0.00135
2013-03-07,0.001911
2013-03-08,0.004463
2013-03-11,0.003298
2013-03-12,-0.002194
2013-03-13,0.001664
2013-03-14,0.005496
2013-03-15,-0.001658
2013-03-18,-0.005454
2013-03-19,-0.00236
2013-03-20,0.006787
2013-03-21,-0.008485
2013-03-22,0.007153
2013-03-25,-0.00332
2013-03-26,0.008095
2013-03-27,-0.000461
2013-03-28,0.004015
2013-04-01,-0.004271
2013-04-02,0.005018
2013-04-03,-0.010349
2013-04-04,0.004128
2013-04-05,-0.004222
2013-04-08,0.006677
2013-04-09,0.003805
2013-04-10,0.012105
2013-04-11,0.003536
2013-04-12,-0.002725
2013-04-15,-0.022746
2013-04-16,0.014195
2013-04-17,-0.014184
2013-04-18,-0.00668
2013-04-19,0.008838
2013-04-22,0.004653
2013-04-23,0.010427
2013-04-24,0.000125
2013-04-25,0.0042
2013-04-26,-0.00188
2013-04-29,0.0071
2013-04-30,0.002534
2013-05-01,-0.009213
2013-05-02,0.009456
2013-05-03,0.010695
2013-05-06,0.001785
2013-05-07,0.005245
2013-05-08,0.004475
2013-05-09,-0.003264
2013-05-10,0.004434
2013-05-13,0.000144
2013-05-14,0.010441
2013-05-15,0.005529
2013-05-16,-0.004957
2013-05-17,0.010277
2013-05-20,-0.00068
2013-05-21,0.001665
2013-05-22,-0.008264
2013-05-23,-0.002871
2013-05-24,-0.000402
2013-05-28,0.006402
2013-05-29,-0.007039
2013-05-30,0.003664
2013-05-31,-0.014154
2013-06-03,0.006028
2013-06-04,-0.005431
2013-06-05,-0.013435
2013-06-06,0.008539
2013-06-07,0.012916
2013-06-10,-0.00031
2013-06-11,-0.01023
2013-06-12,-0.008146
2013-06-13,0.014841
2013-06-14,-0.005876
